Title,Ingredients,Steps,Loves,URL,Kategori,clean_title,steps_length
Ikan Cue' Tongkol Kemangi,8 potong ikan cue tongkol asap--3-5 ikat daun kemangi--2 lbr daun salam--1 lbr daun jeruk--4 buah cabe merah (iris)--Bumbu halus :--sesuai selera Cabe rawit merah--sesuai selera Cabe merah--5 siung bawang merah--6 siung bawang putih--2 biji kemiri--secukupnya Lada--1 ruas jahe--Secukupnya garam dan gula--Air--,"Suwir suwir ikan cue. Cuci daun kemangi hingga bersih.--Panaskan minyak dan tumis bumbu halus hingha setengah matang. Masukkan daun jeruk (iris2) dan daun salam masak hingga matang. Beri air secukupnya. Masukkan suwiran ikan cue, aduk2 hingga bumbu merata. Tambahkan air jika ingin sedikit berkuah. Tes rasa.--Masukkan irisan cabe merah dan daun kemangi. Aduk2 dan masak hingga mendidih. Matikan kompor. Siap sajikan dengan nasi hangat.--",6,/id/resep/4370211-ikan-cue-tongkol-kemangi,ikan.csv,ikan cue tongkol kemangi,438
Telur Kecap simpleeeee bangget,3 butir telur--1 bawang merah iris halus--1 bawang putih iris halus--1 cabe rawit merah iris tipis--3-5 sdm kecap manis sesuai selera--Sedikit garam--Sedikit lada--Sedikit minyak--1 sdm mentega--,"Tumis bawang merah, cabe dan bawang putih dengn sedikit minyak sampai harum.--Masukkan telur diamkan sebentar baru dihancurkan. Agar telur tidak terlalu hancur. Masukkan mentega lalu aduk sebentar agar matang di dua sisi. Fungsi mentega ini bikin aroma harum dan khas ketika kita makan telurnya.--Masukkan garam, lada dan kecap manis. Aduk rata dan diamkan sebentar. Jangan terlalu lama agar telur masih terasa lembut. Selamat menikmati--",25,/id/resep/3958291-telur-kecap-simpleeeee-bangget,telur.csv,telur kecap simpleeeee bangget,438
Usus telur daun kemangi,1/4 usus ayam--1 jari kunyit--1 ruas jahe--Secukupnya daun jeruk--Secukupnya daun sereh--3 siung bawang merah--2 butir telur ayam--2 siung bawang putih--3 butir kemiri--2 cabai merah (selera)--Secukupnya daun kemangi--Secukupnya garam--Secukupnya gula--,"Bersihkan usus ayam.--Didihkan air, geprek sereh dah jahe serta daun jeruk, masukan usus ayam yang sudah dibersihkan lalu di rebus 5 sampai 10 menit.--Tumbuk halus bawang merah, bawang putih, cabai, kemiri, kunyit hingga halus. Lalu di tumis hingga harum.--Tambahkan air sedikit, tunggu hingga mendidih, jika sudah mendidih masukan usus ayam.--Tambhakan kemangi dan telor ayam.--Tambahkan garam dan gula. Secukupnya hingga rasanyaa pas.--",3,/id/resep/4023831-usus-telur-daun-kemangi,telur.csv,usus telur daun kemangi,438
Patin masak kecap,1 ekor ikan patin--3 siung bawang putih--5 siung bawang merah--1 ruas jahe--,"Ikan patin potong potong lalu cuci bersih--Goreng ikan sampai matang--Iris bumbu2 (bawang merah,putih dan jahe)--Tumis bumbu dengan sedikit minyak sampai harum, kasih sedikit air, gula, garam dan kecap--Lalu masukan ikan yang sudah digoreng, tambahin kecap diatas ikan masak sampai air sat dan mengental....--Sajikan dengan nasi hangat.... Bagi yang suka pedes bisa ditambah potongan cabe dan bawang merah,merica dan kecap (sambel sate)--",15,/id/resep/4030787-patin-masak-kecap,ikan.csv,patin masak kecap,438
Gurame krispy,1 ekor ikan gurame di fillet--secukupnya Tepung terigu--secukupnya Tepung roti--2 butir telur kocok lepas--1 sdm bawang putih giling--1 sdm bawang merah giling--1 sdt garam--,"Cuci daging ikan yang sudah di fillet,potong sesuai selera lalu bumbui dengan bawang merah, putih giling dan garam diamkan selama satu jam.--Siapkan telur, tepung dan panir di wadah berbeda--Ambil daging ikan, celupkan ke tepung, telur lalu panir dan goreng ke dalam minyak tergenang yang sudah dipanaskan, lakukan sampai adonan habis tiriskan.--Sajikan gurame krispy dengan saus, atau juga bisa dimakan dengan nasi. Selamat mencoba :)--",6,/id/resep/4370402-gurame-krispy,ikan.csv,gurame krispy,437
Pindang Iga Sapi JagisMOTD,500 gr Iga Sapi--2 ruas batang sereh--4 lembar daun salam--3 lembar daun jeruk--2 batang sereh--150 ml asam jawa--15 butir cabai rawit--Kemangi--Bawang goreng--Garam--Gula--Bumbu halus :--8 siung bamer--5 siung baput--1 ruas kunyit--1/2 ruas jahe--1 batang cabe merah besar--3 buah kemiri--1/2 sdt ketumbar--,"Cuci iga sapi hingga bersih,lalu masukan ke air mendidih.--1/2 masak daging,masukan sereh+lengkuas(geprek),daun salam,daun jeruk.--Tumis bumbu halus,jika sudah harum masukan ke dlam rebusan tulang,lalu tambahkan asam jawa+cabai rawit,garam+gula. Rebus hingga lunak dan kaji rasa.--Cara penyajian,ambil beberapa potongan tulang iga kedalam mangkuk saji,lalu taburkan daun kemangi,siramkan kuah dan taburi bawang goreng.--Selamat mencoba--",39,/id/resep/3689509-pindang-iga-sapi-jagismotd,sapi.csv,pindang iga sapi jagismotd,437
Terong telur dadar balado jeruk,3 buah terong uk. Sedang--Telur--Bahan bumbu balado:--Cabe rawit--Cabe merah besar--7 bawang merah--4 bawang putih--2 biji Kemiri--Bahan tambahan:--Daun jeruk--secukupnya Gula--secukupnya Garam--secukupnya Kaldu ayam bubuk--,"Kupas terong,potong-potong sesuai keinginan,cuci bersih lalu goreng sebentar--Kocok telur lalu goreng hingga menjadi telur dadar.--Cuci semua bahan bumbu lalu blender.--Panaskan 2 sendok makan minyak goreng, masukkan bumbu balado--Aduk hingga mendidih dan kental.Tambah gula garam,kaldu bubuk dan daun jeruk yang telah dirajang. Lalu test rasa.--Masukkan terong dan telur dadar. Aduk sebentar.--Terong telur balado jeruk siap dinikmati--",9,/id/resep/4272432-terong-telur-dadar-balado-jeruk,telur.csv,terong telur dadar balado jeruk,437
Kering tempe praktis ekonomis,1 papan tempe potong korek api--100 gr daging ayam--5 siung bawang putih--3 siung bawang merah--2 cm laos--2 lembar daun jeruk--1 batang serai--1 lembar daun salam--secukupnya Garam--secukupnya Gula jawa--secukupnya Kecap manis--secukupnya Minyak goreng--secukupnya Air--,"Potong-potong tempe dan daging ayam,, goreng setengah matang--Cincang bawang putih, bawang merah, serai dan laos di geprek--Siapkan minyak, tumis bumbu yang sudah dicincang, masukkan laos, serai, daun jeruk, daun salam, tumis hingga harum--Masukkan tempe dan ayam beri sedikit air--Masukkan gula jawa, garam, dan penyedap rasa(optional), aduk""hingga meresap, tambahkan kecap--Tunggu sebentar hingga matang, kering tempe siap disajikan😊--",7,/id/resep/4020206-kering-tempe-praktis-ekonomis,tempe.csv,kering tempe praktis ekonomis,437
Siomay udang goreng,"1/4 udang basah, kupas, haluskan--1/2 ruas wortel, kupas, parut halus--Secukupnya keju cheddar, parut halus--6 sdm terigu--3 sdm tpg sagu--secukupnya Daun bawang--Secukupnya merica bubuk--Secukupnya penyedap/kaldu bubuk--","Campurkan semua bahan jadi 1 di wadah sampai benar2 tercampur.--Setetelah itu didihkan air di panci.--Ambil adonan dengan sendok makan, (tekstur memang sedikit cair, krn berbahan dasar udang). Bentuk adonan dgn 2 sendok makan sambil cemplung ke didihan air.--Angkat yg sudah mengapung (seperti bakso), berarti sudah matang. Sisihkan--Jika ingin dimakan, bisa digoreng. Namun ini bisa jd frozen food yg disimpan dalam wadah kedap udara.--",4,/id/resep/4159452-siomay-udang-goreng,udang.csv,siomay udang goreng,437
Ayam Kampung Tanpa Santan(krebek kuning),1 ekor ayam kampung--Bumbu halus:--8 siung bawang merah--6 siung bawang putih--4 butir kemiri--2 buah cabe merah besar(bisa tambahin lagi sesuai selera)--2-3 cm jahe dan kunyit--Bumbu Pelengkap:--2 batang sereh(geprek)--2 lembar daun salam--Cabe rawit secukupnya(biarkan utuh)--Lengkuas (geprek)--Garam dan gula--secukupnya Asam jawa--secukupnya Air kaldu--,"Potong dan rebus ayam hingga empuk--Haluskan semua bumbu halus (bisa diblender ato diulek)lalu tumis hingga harum, tambahkan bumbu pelengkap dan aduk rata--Masukkan ayam kampung yang sudah direbus, aduk rata--Tambahkan sedikit air kaldu, garam, gula aduk hingga merata--Biarkan mendidih agar bumbu lebih meresap (untuk kuahnya optional bisa pake versi banyak ato dikit tergantung selera aja)--Koreksi rasa dan sajian siap dihidangkan..--",6,/id/resep/4466797-ayam-kampung-tanpa-santankrebek-kuning,ayam.csv,ayam kampung tanpa santan krebek kuning,437
Ayam kecap baso pete,"5 potong dada ayam--4 baso sapi uk sedang (potong menjadi 4)--1 btg pete (kupas bagi 2 bagian)--4 siung bawang putih (cincang)--3 siung bawang merah (cincang)--1/2 siung bawang bombay (cincang)--4 cabe merah keriting (iris tipis)--1 ruas lengkuas (geprek)--1 ruas jahe (geprek)--1 btg sereh (geprek)--3 lbr daun salam--Secukupnya garam, gula, kaldu bubuk, lada bubuk--1 sachet kecap manis--300 ml air--","Cuci bersih ayam lalu goreng. Dinginkan dan suir2 sisihkan.--Rebus potongan baso sampai empuk, sisihkan.--Tumis semua bawang, cabe merah, jahe, lengkuas, sereh, daun salam dan potongan pete sampai harum.--Tambahkan garam, gula, lada bubuk, penyedap, kecap manis dan air. Aduk rata biarkan sampai mendidih tes rasa.--Masukan ayam suir, baso yg sudah direbus menjadi satu.--Masak sampai air meresap (tp jgn terlalu kering). Lalu sajikan.--",6,/id/resep/4445035-ayam-kecap-baso-pete,ayam.csv,ayam kecap baso pete,437
Cah udang kangkung,1 ikat kangkung--200 ons udang kecil--16 rawit merah--2 siung bawang merah--2 siung bawang putih--5 siung bawang + daunnya--1 ruas terasi--1 sdt petis--secukupnya Garam--1 sdt gula pasir--1 buah tomat--Penyedap--,"Bersihkan udang dan kangkung,petik kangkung (gunakan daunnya saja) lalu sisihkan.--Siapkan bumbu, iris semua bawang, cabe, tomat.--Siapkan minyak diwajan, panaskan dengan api sedang, goreng udang lalu sisihkan.--Tumis bumbu iris setelah harum masukkan terasi, petis, garam, gula pasir, dan penyedap, masukkan kangkung aduk2 sampai layu, kemudian masukkan udang. Aduk2 koreksi rasa, angkat lalu hidangkan dan nikmati bersama keluarga. 😋--",1,/id/resep/3870138-cah-udang-kangkung,udang.csv,cah udang kangkung,437
Sop Tetelan Sapi Pedas,150 gr tetelan sapi--700 ml air1 buah wortel potong2--1 buah tomat hijau potong2--1/2 buah tomat merah potong2--1 batang daun bawang potong--1 batang seledri--1 ruas jahe geprek--1/4 biji pala utuh--8 buah rawit merah geprek--4 buah cabe hijau geprek--Secukupnya garam dan kaldu bubuk rasa sapi--Bawang goreng--Bumbu halus:--4 siung bawang putih--3 buah bawang merah--,"Rebus tetelan sapi dgn air sampai mendidih dan tetelan sapi empuk. Beri pala dan jahe geprek.--Tumis bumbu halus sampai harum.
Masukkan tumisan bumbu ke dalam rebusan air dan tetelan sapi.--Masukkan wortel masak sampai agak empuk.
Bumbui dgn garam dan kaldu bubuk.
Masukkan tomat hijau, cabe rawit, daun bawang dan seledri. Masak sebentar sampai mendidih. Koreksi rasa.
Angkat taburi dgn bawang goreng dan beri perasan air jeruk nipis.--",17,/id/resep/4115326-sop-tetelan-sapi-pedas,sapi.csv,sop tetelan sapi pedas,437
Udang saus padang simple,1/4 udang--4 bawang putih--3 bawang merah--3 cabe rawit--1 tomat--2 batang sereh (di geprek)--3 daun jeruk--1/2 bawang bombay--2 batang daun bawang--2 cm jahe (geprek)--2 sdm saos tiram--1 sdm saos tomat--4 sdm saos sambal--secukupnya gula--secukupnya garam--secukupnya air--1 sdm maizena di larutkan--,"Haluskan bawang putih merah dan cabai,iris2 tomat,bawang daun, dan bawang bombay--Lalu tumis bumbu yg telah di haluskan. dan masukan juga bawang daun, bawang bombai,tomat,sereh,jahe,dan daun jeruk. sampai harum--Masukan udang lalu beri air sedikit demi sedikit,lalu masukan saus tomat,saus sambal, saus tiram, dan masukan garam dan gula. lalu koreksi rasa, jika sudah pas rasanya masukan maizena tunggu hingga mengental--Dan selesai 😂😂--",4,/id/resep/3834594-udang-saus-padang-simple,udang.csv,udang saus padang simple,437
Sop Iga Sapi by Ezelea,"1 kg tulang iga sapi--250 gr wortel--100 gr buncis--250 gr bunga kol--5 siung bawang putih--5 siung bawang merah--1 tangkai daun bawang--1 tangkai daun seledri--1 buah tomat merah besar--Garam, gula, lada bubuk--","Rebus tulang iga setengah empuk (me : pakai presto), angkat dan tiriskan (buang airnya)--Haluskan bawang merah putih--Rebus kembali tulang iga pake air yg baru, setelah empuk masukkan wortel--Tunggu sampai wortel setengah empuk, kemudian masukkan buncis, terakhir masukkan bunga kol--Tambahkan garam, gula, dan lada bubuk, tes rasa--Setelah hampir matang masukkan irisan daun bawang, daun seledri dan potongan tomat--Angkat dan sajikan--",5,/id/resep/3454550-sop-iga-sapi-by-ezelea,sapi.csv,sop iga sapi by ezelea,437
Tumis daging kambing jamur,250 gr (1/4 kg)daging kambing--1 bungkus jamur--1 buah tomat iris kotak--2 buah cabe gede ijo--2 siung bawang putih--3 siung bawang merah--2 lembar daun jeruk--1 helai daun bawang potong tipis--bawang goreng untuk taburan--1/2 sdt merica--1 bungkus saos tiram--2 sdm kecap manis--secukupnya gula garam--,"Daging kambing potong dadu dan lumuri dengan saos tiram + kecap manis. Diamkan kurleb 30 menit agar bumbu meresap.--Haluskan bumbu dan tumis hingga harum. Masukkan daging kambing dan masak hingga setengah matang baru masukkan jamur, tomat, cabe ijo, daun jeruk, daun bawang serta merica dan aduk2 rata. Terakhir masukkan garam dan gula serta tambahkan air. Koreksi rasa. Masak hingga matang.--Sajikan dengan taburan bawang goreng 😉😉😉😉😉--",5,/id/resep/2498052-tumis-daging-kambing-jamur,kambing.csv,tumis daging kambing jamur,437
Oseng udang tahu tempe,1/4 udang--1 tahu--1 tempe--1 tomat--10 siung bawang merah--5 siung bawang putih--8 cabe--1 bungkus merica bubuk--secukupnya garam--secukupnya penyedap rasa--secukupnya Air--secukupnya Gula--secukupnya Daun bawang--secukupnya Minyak goreng--secukupnya Lengkuas--,"Iris tipis tomat, 8 bawang merah,3 bawang putih, 8 cabe,daun bawang--Haluskan 2 bawang merah,2 bawang putih dan garam--Tempe dan tahu potong dadu lalu goreng setengah matang--Tumis bahan yang telah diiris dan bumbu yang telah dihaluskan,geprek lengkuas lalu masukkan--Masukkan udang, tahu dan tempe--Tambahkan merica bubuk, gula, dan penyedap rasa sesuai selera--Jangan lupa periksa rasa--Tambahkan air secukupnya--Tunggu hingga matang--",2,/id/resep/3895274-oseng-udang-tahu-tempe,udang.csv,oseng udang tahu tempe,437
Mapo Tahu,"5 buah tahu kotak kecil, potong persegi--50 gr daging sapi, cincang halus (blender)--2 siung bawang putih haluskan--1 cm jahe parut--1 sdm kecap manis--1 sdt kecap inggris--1 sdm saus tomat--1 sdm saus cabe--1 buah cabe rawit iris tipis--150 ml air kaldu (kupakai kaldu udang)--Bumbu Tambahan :--2 sdt minyak wijen--1 batang daun bawang, iris tipis--garam--gula pasir--merica bubuk--1 sdt maizena, larutkan dg sedikit air--","Rendam daging dalam kecap inggris dan kecap manis selama 30 menit--Panaskan 2 sdm minyak, tumis jahe parut + bawang putih sampai harum, lalu masukkan daging tumis sampai berubah warna.--Masukkan air kaldu, tunggu sampai mendidih, masukkan tahu, bumbu garam, gula pasir, merica bubuk, saus tomat, saus sambal, cabe rawit, tes rasa. Masak sampai tanek.--Terakhir masukkan minyak wijen + daun bawang, lalu maizena, aduk rata, matikan api.--",12,/id/resep/4057212-mapo-tahu,tahu.csv,mapo tahu,437
Orek tempe manis pedas super simple,Tempe (saya beli 3000 saja)--3 buah cabe gendot--3 buah cabe keriting--3 buah cabe rawit merah--2 siung bawang merah--1 siung bawang putih--Kecap--Saus tiram--Saus tomat--Kaldu bubuk--Garam--Gula--,"Potong2 tempe sesuai selera lalu goreng sebentar.--Tumis duo bawang dan semua cabe (cabe bisa sesuai selera ya pedesnya suka segimana) sampai harum. Masukkan tempe, kecap, saus tiram, saus tomat, kaldu bubuk, gulgar, dan tambahkan air satu gelas belimbing. Aduk2 dan tutup wajan.--Saat air sudah menyusut dan kuah kecap mengental. Cek rasa. Klo sudah oke. Matikan api. Sajikan. (Klo aku suka airnya sedikit sekali 😋). Selamat mencoba !--",7,/id/resep/4474061-orek-tempe-manis-pedas-super-simple,tempe.csv,orek tempe manis pedas super simple,437
